term,df,SumOfSqs,R2,statistic,p.value
plant,1,0.3308477337717117,0.051258254752467106,1.836938946044984,0.011
Residual,34,6.123678183457019,0.9487417452475329,NA,NA
Total,35,6.4545259172287315,1,NA,NA
